"","GDAY_DS","ER"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-10,NA
"6",2020-05-12,NA
"7",2020-05-13,NA
"8",2020-05-14,NA
"9",2020-05-15,NA
"10",2020-05-16,NA
"11",2020-05-17,NA
"12",2020-05-19,NA
"13",2020-05-20,NA
"14",2020-05-21,NA
"15",2020-05-22,NA
"16",2020-05-23,NA
"17",2020-05-24,NA
"18",2020-05-26,3.193
"19",2020-05-27,3.164
"20",2020-05-28,3.433
"21",2020-05-29,3.474
"22",2020-05-30,4.029
"23",2020-05-31,4.246
"24",2020-06-02,4.591
"25",2020-06-03,4.719
"26",2020-06-04,4.31
"27",2020-06-05,4.111
"28",2020-06-06,3.912
"29",2020-06-07,3.708
"30",2020-06-09,4.152
"31",2020-06-10,4.678
"32",2020-06-11,4.743
"33",2020-06-12,4.497
"34",2020-06-13,5.836
"35",2020-06-14,5.813
"36",2020-06-16,6
"37",2020-06-17,6.158
"38",2020-06-19,5.661
"39",2020-06-20,5.509
"40",2020-06-21,5.673
"41",2020-06-23,5.427
"42",2020-06-25,4.988
"43",2020-06-25,6.164
"44",2020-06-26,5.906
"45",2020-06-27,6.579
"46",2020-06-28,5.93
"47",2020-06-30,6.24
"48",2020-07-01,5.772
"49",2020-07-02,5.865
"50",2020-07-03,6.076
"51",2020-07-04,5.637
"52",2020-07-05,5.62
"53",2020-07-07,5.456
"54",2020-07-08,5.193
"55",2020-07-09,4.848
"56",2020-07-10,4.532
"57",2020-07-11,4.632
"58",2020-07-14,4.614
"59",2020-07-15,4.819
"60",2020-07-16,4.368
"61",2020-07-17,4.129
"62",2020-07-18,3.754
"63",2020-07-19,3.497
"64",2020-07-21,3.614
"65",2020-07-24,3.281
"66",2020-07-25,3.52
"67",2020-07-26,3.421
"68",2020-07-28,4.187
"69",2020-07-31,4.515
"70",2020-08-01,5.234
"71",2020-08-02,5.398
"72",2020-08-05,5.655
"73",2020-08-06,5.257
"74",2020-08-08,5.076
"75",2020-08-09,4.678
"76",2020-08-12,5.047
"77",2020-08-13,4.766
"78",2020-08-14,5.357
"79",2020-08-15,6.211
"80",2020-08-16,5.953
"81",2020-08-18,5.474
"82",2020-08-19,5.421
"83",2020-08-20,4.947
"84",2020-08-21,4.789
"85",2020-08-23,5.275
"86",2020-08-24,5.509
"87",2020-08-25,5.234
"88",2020-08-26,5.193
"89",2020-08-27,4.871
"90",2020-08-28,5.52
"91",2020-08-29,5.515
"92",2020-08-30,5.38
"93",2020-09-01,5.029
"94",2020-09-02,4.988
"95",2020-09-03,4.649
"96",2020-09-04,4.626
"97",2020-09-06,4.632
"98",2020-09-08,4.368
"99",2020-09-09,4.637
"100",2020-09-10,4.977
"101",2020-09-10,4.561
"102",2020-09-12,5.094
"103",2020-09-13,4.959
"104",2020-09-15,4.965
"105",2020-09-16,4.778
"106",2020-09-17,4.275
"107",2020-09-18,4.327
"108",2020-09-19,4.363
"109",2020-09-20,4.012
"110",2020-09-20,3.789
