"","GDAY_DS","WLS"
"18",2020-05-26,NA
"19",2020-05-27,NA
"20",2020-05-28,NA
"21",2020-05-29,NA
"22",2020-05-30,NA
"23",2020-05-31,NA
"24",2020-06-02,NA
"25",2020-06-03,NA
"26",2020-06-04,NA
"27",2020-06-05,NA
"28",2020-06-06,NA
"29",2020-06-07,NA
"30",2020-06-09,NA
"31",2020-06-10,NA
"32",2020-06-11,NA
"33",2020-06-12,NA
"34",2020-06-13,NA
"35",2020-06-14,0.532
"36",2020-06-16,0.468
"37",2020-06-17,0.409
"38",2020-06-18,0.462
"39",2020-06-19,0.509
"40",2020-06-20,0.556
"41",2020-06-21,0.602
"42",2020-06-23,0.643
"43",2020-06-25,0.684
"44",2020-06-25,0.614
"45",2020-06-26,0.55
"46",2020-06-27,0.596
"47",2020-06-28,0.538
"48",2020-06-30,0.485
"49",2020-07-01,0.538
"50",2020-07-02,0.485
"51",2020-07-03,0.538
"52",2020-07-04,0.485
"53",2020-07-05,0.538
"54",2020-07-07,0.585
"55",2020-07-08,0.52
"56",2020-07-09,0.561
"57",2020-07-10,0.602
"58",2020-07-11,0.538
"59",2020-07-14,0.48
"60",2020-07-15,0.532
"61",2020-07-16,0.585
"62",2020-07-17,0.532
"63",2020-07-18,0.585
"64",2020-07-19,0.632
"65",2020-07-21,0.678
"66",2020-07-24,0.614
"67",2020-07-25,0.655
"68",2020-07-26,0.591
"69",2020-07-28,0.526
"70",2020-07-30,0.468
"71",2020-07-31,0.409
"72",2020-08-01,0.462
"73",2020-08-02,0.515
"74",2020-08-04,0.456
"76",2020-08-06,0.509
"77",2020-08-07,0.456
"79",2020-08-11,0.509
"80",2020-08-12,0.556
"81",2020-08-13,0.497
"82",2020-08-14,0.444
"83",2020-08-15,0.497
"84",2020-08-16,0.444
"85",2020-08-18,0.503
"86",2020-08-19,0.456
"87",2020-08-20,0.409
"88",2020-08-21,0.474
"89",2020-08-22,0.532
"90",2020-08-23,0.585
"91",2020-08-25,0.632
"92",2020-08-26,0.567
"93",2020-08-27,0.509
"94",2020-08-28,0.561
"96",2020-08-30,0.503
"97",2020-09-01,0.556
"98",2020-09-03,0.497
"99",2020-09-04,0.444
"100",2020-09-05,0.503
"101",2020-09-06,0.556
"102",2020-09-08,0.602
"103",2020-09-09,0.544
"104",2020-09-10,0.591
"105",2020-09-12,0.532
"107",2020-09-15,0.579
"108",2020-09-16,0.515
"109",2020-09-17,0.456
"110",2020-09-18,0.404
"111",2020-09-19,0.357
"112",2020-09-20,0.421
